school_name,street,postcode,easting,northing,web_site,school_group,maintain_status,lea_no,dcfs_no,_geom
Perry Beeches IV - The Free School,"St George's Court, 1 Albion Street",B1 3AA,405869,287381,http://www.perrybeechesiv.co.uk/,Secondary,Free Schools,330,4016,"{""type"":""Point"",""coordinates"":[-1.91500606765536,52.4843359269839]}"
Perry Beeches Junior School,Beeches Road,B42 2PY,406385,293686,http://www.perrybj.bham.sch.uk/,Juniors,Community School,330,2016,"{""type"":""Point"",""coordinates"":[-1.90728647568345,52.5410034908105]}"
Perry Beeches Nursery School,256 Beeches Road,B42 2PX,406357,293534,http://www.perrybn.bham.sch.uk/,Nursery,LA Nursery School,330,1008,"{""type"":""Point"",""coordinates"":[-1.90770216122384,52.539646283377]}"
Perry Beeches the Academy,Beeches Road,B42 2PY,406307,293655,http://www.perrybs.bham.sch.uk/,Secondary,Academy Converter,330,4109,"{""type"":""Point"",""coordinates"":[-1.90845180682921,52.5407256988031]}"
Perry Beeches V - The All Through Family School,Talbot Way,B10 0HJ,410547,284979,http://www.perrybeechesv.co.uk/,All Through,Free Schools,330,4019,"{""type"":""Point"",""coordinates"":[-1.846206135692,52.4626656477823]}"
Plantsbrook School,Upper Holland Road,B72 1RB,412397,295666,http://web.plantsbrookschool.co.uk/,Secondary,Academy Converter,330,4331,"{""type"":""Point"",""coordinates"":[-1.81856958353748,52.5587098625733]}"
Priestley Smith School,"Perry Beeches Campus, Beeches Road",B42 2PY,406360,293632,http://www.priestleysmith.co.uk/,Special,Community School,330,7034,"{""type"":""Point"",""coordinates"":[-1.90767077970669,52.5405272840229]}"
Prince Albert Junior and Infant School,Albert Road,B6 5NH,407346,289594,http://www.princealbert.bham.sch.uk/,Primary,Academy Converter,330,2003,"{""type"":""Point"",""coordinates"":[-1.89322066642897,52.5042050363388]}"
Princethorpe Infant School,Princethorpe Road,B29 5QB,402219,282005,http://www.princethorpeinfants.org.uk/,Infants,Community School,330,2156,"{""type"":""Point"",""coordinates"":[-1.96878567954316,52.4360329075737]}"
Princethorpe Junior School,Princethorpe Road,B29 5QB,402201,282039,http://www.princethorpejuniors.org.uk/,Juniors,Community School,330,2155,"{""type"":""Point"",""coordinates"":[-1.96906489699753,52.4363386428007]}"
Queensbridge School,Queensbridge Road,B13 8QB,407343,282575,http://www.queensbridge.bham.sch.uk/,Secondary,Foundation School,330,4173,"{""type"":""Point"",""coordinates"":[-1.89340229480892,52.4411045790907]}"
Queensbury School,Wood End Road,B24 8BL,410933,291006,http://www.queensburysch.com/,Special,Community School,330,7036,"{""type"":""Point"",""coordinates"":[-1.84033060514852,52.5168483549124]}"
Quinton Church Primary School,Hagley Road West,B32 1AJ,399465,284757,http://www.quinton.bham.sch.uk/,Primary,Voluntary Controlled School,330,3004,"{""type"":""Point"",""coordinates"":[-2.00931552955027,52.4607770640833]}"
Raddlebarn Primary School,Gristhorpe Road,B29 7TD,405015,282095,http://www.raddlebarn.co.uk/,Primary,Community School,330,2157,"{""type"":""Point"",""coordinates"":[-1.92765682176381,52.4368151651834]}"
Reach School,Kings Heath High Street,B14 7BB,407407,282215,http://www.reachschool.co.uk/,Alternative,Free Schools,330,1107,"{""type"":""Point"",""coordinates"":[-1.89246864465185,52.4378762535489]}"
Reaside Academy,Tresco Close,B45 0HY,398334,278178,http://www.reasideacademy.com/,Juniors,Academy Sponsor Led,330,2080,"{""type"":""Point"",""coordinates"":[-2.02591733965899,52.4016255624258]}"
Redhill Junior and Infant School,Redhill Road,B25 8HQ,411421,284986,http://www.redhill.bham.sch.uk/,Primary,Community School,330,2159,"{""type"":""Point"",""coordinates"":[-1.83334358848091,52.4627102750721]}"
Rednal Hill Infant School,Irwin Avenue,B45 8QY,400077,277063,http://www.rednalhill-inf.bham.sch.uk/,Infants,Community School,330,2161,"{""type"":""Point"",""coordinates"":[-2.00029269337981,52.3915991278137]}"
Rednal Hill Junior School,Irwin Avenue,B45 8QY,399996,277029,http://www.rednalhill-jun.bham.sch.uk/,Juniors,Community School,330,2160,"{""type"":""Point"",""coordinates"":[-2.0014976020228,52.3912934495815]}"
Regents Park Community Primary School,Arthur Street,B10 0NJ,408998,285906,http://www.rgntpark.bham.sch.uk/,Primary,Community School,330,2063,"{""type"":""Point"",""coordinates"":[-1.86896680068176,52.4710347415866]}"
Robin Hood Academy,Pitmaston Road,B28 9PP,411551,280899,http://www.robinhoodprimary.com/,Primary,Academy Converter,330,2460,"{""type"":""Point"",""coordinates"":[-1.8315701328319,52.4259655505864]}"
Rockwood Academy,Naseby Road,B8 3HG,410519,288115,http://www.rockwood-academy.co.uk/,Secondary,Academy Converter,330,4323,"{""type"":""Point"",""coordinates"":[-1.84651358159853,52.490862926963]}"
Rookery School,Rookery Road,B21 9PY,404249,290355,http://www.rookeryschool.co.uk/,Primary,Academy Converter,330,2481,"{""type"":""Point"",""coordinates"":[-1.93883677077124,52.5110875230344]}"
Rubery Nursery School,Leybrook Road,B45 9PB,399918,277728,http://www.ruberyn.bham.sch.uk,Nursery,LA Nursery School,330,1018,"{""type"":""Point"",""coordinates"":[-2.00264417247096,52.3975774968433]}"
Sacred Heart Catholic School,Earlsbury Gardens,B20 3AE,406819,290177,http://www.sacredheart.bham.sch.uk/,Primary,Voluntary Aided School,330,3409,"{""type"":""Point"",""coordinates"":[-1.90097274772651,52.5094618049894]}"
Saint Barnabas Church of England Primary School,Spring Lane,B24 9BY,411470,291450,http://www.stbarnabaserdington.com/,Primary,Voluntary Aided School,330,3302,"{""type"":""Point"",""coordinates"":[-1.83238734517457,52.5208199517366]}"
Saltley Academy,Belchers Lane,B9 5RX,411506,287348,http://www.saltley.bham.sch.uk/,Secondary,Academy Sponsor Led,330,4018,"{""type"":""Point"",""coordinates"":[-1.83199715413884,52.4839516319129]}"
Selly Oak Nursery School,26 Tiverton Road,B29 6BP,404591,282925,http://www.sellyoak-nur.bham.sch.uk/,Nursery,LA Nursery School,330,1000,"{""type"":""Point"",""coordinates"":[-1.93389137190837,52.444288623819]}"
Selly Oak Trust School,Oak Tree Lane,B29 6HZ,404294,281903,http://www.sellyoak.bham.sch.uk/,Special,Foundation School,330,7033,"{""type"":""Point"",""coordinates"":[-1.93827953534291,52.4351040145674]}"
Selly Park Technology College for Girls,5 Selly Park Road,B29 7PH,405625,282071,http://www.sellyprk.bham.sch.uk/,Secondary,Community School,330,4177,"{""type"":""Point"",""coordinates"":[-1.91869893076582,52.4366025696651]}"
Severne Junior Infant and Nursery School,Severne Road,B27 7HR,412204,281781,http://www.severne.bham.sch.uk/,Primary,Community School,330,2169,"{""type"":""Point"",""coordinates"":[-1.82193516546041,52.4338896453719]}"
Shaw Hill Primary School,Anthony Road,B8 3AN,410628,287770,http://www.shawhill.bham.sch.uk/,Primary,Community School,330,2008,"{""type"":""Point"",""coordinates"":[-1.84491418034112,52.4877584929085]}"
Shenley Academy,Shenley Lane,B29 4HE,401668,281322,http://www.shenleyacademy.org/,Secondary,Academy Sponsor Led,330,6907,"{""type"":""Point"",""coordinates"":[-1.97690843765083,52.4298856227696]}"
Shenley Fields Nursery School,Farwood Road,B31 1BU,401189,281429,http://www.shenleyfields.com,Nursery,LA Nursery School,330,1038,"{""type"":""Point"",""coordinates"":[-1.98395288674858,52.4308540896945]}"
Skilts School,Gorcott Hill,B98 9ET,409453,267757,http://www.skilts.bham.sch.uk/,Special,Community School,330,7037,"{""type"":""Point"",""coordinates"":[-1.86278903877803,52.3078574540963]}"
Slade Primary School,Slade Road,B23 7PX,409734,290646,http://www.slade.bham.sch.uk/,Primary,Academy Sponsor Led,330,2037,"{""type"":""Point"",""coordinates"":[-1.85800989624215,52.5136255089781]}"
Sladefield Infant School,Bamville Road,B8 2TJ,411483,288289,http://www.slfield.bham.sch.uk/,Infants,Community School,330,2174,"{""type"":""Point"",""coordinates"":[-1.83231835512396,52.4924116388686]}"
Small Heath School,Muntz Street,B10 9RX,409802,285935,http://www.smallheathschool.org.uk/,Secondary,Foundation School,330,5401,"{""type"":""Point"",""coordinates"":[-1.85714493161068,52.4712728266996]}"
Somerville Primary (NC) School,Somerville Road,B10 9EN,409939,285898,http://web.somerville.bham.sch.uk/,Primary,Community School,330,2176,"{""type"":""Point"",""coordinates"":[-1.85512922552367,52.4709377572459]}"
Springfield House Community Special School,Kenilworth Road,B93 0AJ,420202,276192,http://www.spfldhs.bham.sch.uk/,Special,Community School,330,7047,"{""type"":""Point"",""coordinates"":[-1.70461690459625,52.3834094830564]}"
Springfield Primary School,Springfield Road,B13 9NY,409710,282827,http://www.springf.bham.sch.uk/,Primary,Community School,330,3413,"{""type"":""Point"",""coordinates"":[-1.85857827216407,52.4433345250823]}"
St Alban's Catholic Primary School,Broad Lane,B14 5AL,407671,279620,http://www.st-albans.eschools.co.uk/site,Primary,Voluntary Aided School,330,3381,"{""type"":""Point"",""coordinates"":[-1.88864384923069,52.4145435871339]}"
St Ambrose Barlow Catholic Primary School,Shirley Road,B28 9JJ,411298,280744,http://www.sab.bham.sch.uk/,Primary,Voluntary Aided School,330,3380,"{""type"":""Point"",""coordinates"":[-1.83528123117057,52.4245862463004]}"
St Anne's Catholic Primary School,Lowe Street,B12 0ER,408274,285837,http://www.st-annes.bham.sch.uk/,Primary,Voluntary Aided School,330,3335,"{""type"":""Point"",""coordinates"":[-1.87962652654801,52.4704257287731]}"
St Augustine's Catholic Primary School,Avenue Road,B21 8ED,403821,290703,http://www.staugust.bham.sch.uk/,Primary,Voluntary Aided School,330,3329,"{""type"":""Point"",""coordinates"":[-1.94512457532836,52.5142136878896]}"
St Benedict's Infant School,St Benedict's Road,B10 9DP,410637,285451,http://www.stbendic.bham.sch.uk/,Infants,Community School,330,2183,"{""type"":""Point"",""coordinates"":[-1.84486799093407,52.4669152220464]}"
St Bernadette's Catholic Primary School,Hobmoor Road,B25 8QL,411804,285671,http://www.stberns.co.uk/,Primary,Voluntary Aided School,330,3372,"{""type"":""Point"",""coordinates"":[-1.82767956941013,52.4688647561126]}"
St Bernard's Catholic Primary School,Wake Green Road,B13 9QE,409520,282119,http://birmingham.schooljotter.com/bernards,Primary,Voluntary Aided School,330,3375,"{""type"":""Point"",""coordinates"":[-1.86140374862324,52.4369720500727]}"
St Brigid's Catholic Primary School,Frankley Beeches Road,B31 5AB,401713,279200,http://www.stbrigid.bham.sch.uk/,Primary,Academy Converter,330,3330,"{""type"":""Point"",""coordinates"":[-1.97625377987907,52.4108175764312]}"
St Catherine of Siena Catholic Primary School,Great Colmore Street,B15 2AY,406809,285998,http://www.stcathrc.bham.sch.uk/,Primary,Voluntary Aided School,330,3331,"{""type"":""Point"",""coordinates"":[-1.90120407339432,52.4718840907909]}"
St Chad's Catholic Primary School,Hospital Street,B19 3XD,406810,288288,http://www.stchadsprimary.co.uk/,Primary,Voluntary Aided School,330,3337,"{""type"":""Point"",""coordinates"":[-1.90112868784173,52.4924799670225]}"
St Clare's Catholic Primary School,Robert Road,B20 3RT,405988,290246,http://www.stclare.bham.sch.uk/,Primary,Voluntary Aided School,330,3406,"{""type"":""Point"",""coordinates"":[-1.91320076879086,52.510091677675]}"
St Clement's Church of England Academy,Butlin Street,B7 5NS,409064,289149,http://www.stclemce.bham.sch.uk/,Primary,Academy Sponsor Led,330,2059,"{""type"":""Point"",""coordinates"":[-1.86790812249922,52.5001790169489]}"
St Columba's Catholic Primary School,Lickey Road,B45 8TD,400713,277407,http://www.stcolumba.bham.sch.uk/,Primary,Academy Sponsor Led,330,2154,"{""type"":""Point"",""coordinates"":[-1.99094628780602,52.3946914112337]}"
St Cuthbert's RC Junior and Infant (NC) School,Gumbleberrys Close,B8 2PS,412418,287602,http://www.stcuthbt.bham.sch.uk/,Primary,Voluntary Aided School,330,3386,"{""type"":""Point"",""coordinates"":[-1.81857294923269,52.4862063732238]}"
St Dunstan's Catholic Primary School,Drayton Road,B14 7LP,407589,281591,http://www.stdunstans.bham.sch.uk/,Primary,Voluntary Aided School,330,3363,"{""type"":""Point"",""coordinates"":[-1.88980537425525,52.4322551207441]}"
St Edmund Campion Catholic School & Sixth Form Centre,Sutton Road,B23 5XA,411586,292508,http://www.stedcamp.bham.sch.uk/,Secondary,Voluntary Aided School,330,4663,"{""type"":""Point"",""coordinates"":[-1.83064123640625,52.530337743216]}"
St Edmund's Catholic Primary School,Rosebery Street,B18 7PA,405311,287679,http://www.stedmund.bham.sch.uk/,Primary,Voluntary Aided School,330,3347,"{""type"":""Point"",""coordinates"":[-1.92321586916351,52.4870124764301]}"
St Edward's Catholic Primary School,Greenland Road,B29 7PN,405600,282305,http://www.stedward.bham.sch.uk/,Primary,Voluntary Aided School,330,3355,"{""type"":""Point"",""coordinates"":[-1.91905264208841,52.4386993136596]}"
St Francis Catholic Primary School,Nursery Road,B19 1PH,405921,288874,http://www.stfranrc.bham.sch.uk/,Primary,Voluntary Aided School,330,3342,"{""type"":""Point"",""coordinates"":[-1.91422656630132,52.4977582730348]}"
St Francis Church of England Aided Primary School and Nursery,Teazel Avenue,B30 1LZ,403796,280592,http://www.stfrancisprimaryandnursery.co.uk/,Primary,Voluntary Aided School,330,5205,"{""type"":""Point"",""coordinates"":[-1.94561913517744,52.4233127200996]}"
"St George's Church of England Academy, Newtown",St George's Street,B19 3QY,406669,288054,http://www.stgnewtown.bham.sch.uk/,Primary,Academy Sponsor Led,330,2104,"{""type"":""Point"",""coordinates"":[-1.90320997512746,52.4903691112315]}"
St George's Church of England Primary School,Beaufort Road,B16 8HY,404955,286137,http://www.stgeorgesb16.com/,Primary,Academy Sponsor Led,330,2120,"{""type"":""Point"",""coordinates"":[-1.92848081390327,52.4731532582902]}"
St Georges Academy,Great Hampton Row,B19 3JG,406560,288056,http://www.stgeorgesacademy.org.uk/,Alternative,Free Schools,330,1108,"{""type"":""Point"",""coordinates"":[-1.90482992599839,52.4903883953387]}"
St Gerard's RC Junior and Infant School,Yatesbury Avenue,B35 6LB,414575,291660,http://www.stgerard.bham.sch.uk/,Primary,Voluntary Aided School,330,3367,"{""type"":""Point"",""coordinates"":[-1.78663253384658,52.5226343174002]}"
St James Catholic Primary School,Leach Heath Lane,B45 9BN,399289,277142,http://www.stjamescatholicprimary.co.uk,Primary,Academy Converter,330,3358,"{""type"":""Point"",""coordinates"":[-2.0118869027365,52.3923176803396]}"
"St James Church of England Primary School, Handsworth",Sandwell Road,B21 8NH,403546,289996,http://www.stjamesce.bham.sch.uk/page/default.asp?title=Home&pid=1,Primary,Voluntary Controlled School,330,3010,"{""type"":""Point"",""coordinates"":[-1.94919878619469,52.5078650429601]}"
St John and Monica Catholic Primary School,Chantry Road,B13 8DW,407273,283611,http://www.stjonmon.bham.sch.uk/,Primary,Voluntary Aided School,330,3410,"{""type"":""Point"",""coordinates"":[-1.89442453939155,52.4504280756117]}"
St John Fisher Catholic Primary School,Alvechurch Road,B31 3PN,402834,277295,http://www.stjonfsh.bham.sch.uk/,Primary,Voluntary Aided School,330,3360,"{""type"":""Point"",""coordinates"":[-1.95977763242236,52.3936781291011]}"
St John Wall Catholic School - A Specialist Humanities College,Oxhill Road,B21 8HH,403467,290917,http://www.sjw.bham.sch.uk/,Secondary,Voluntary Aided School,330,4625,"{""type"":""Point"",""coordinates"":[-1.95033955229021,52.5161382771761]}"
St John's and St Peter's CofE Academy,St Vincent Street West,B16 8RN,405362,286621,http://www.stjohnsandstpeters.co.uk/,Primary,Academy Sponsor Led,330,2071,"{""type"":""Point"",""coordinates"":[-1.92248141310049,52.4775006518592]}"
St John's CofE Primary School,Stratford Road,B11 4EA,409302,283513,http://www.st-johns-pri.bham.sch.uk/,Primary,Academy Converter,330,3306,"{""type"":""Point"",""coordinates"":[-1.86457212486388,52.4495078080085]}"
St Joseph's Catholic Primary School (B30),Selly Oak Road,B30 1HN,404545,280485,http://www.stjosb30.bham.sch.uk,Primary,Academy Sponsor Led,330,2158,"{""type"":""Point"",""coordinates"":[-1.93459172115552,52.4223452361053]}"
St Joseph's Catholic Primary School (B7),Rocky Lane,B7 5HA,408717,288691,http://www.stjosb7.bham.sch.uk/,Primary,Voluntary Aided School,330,3339,"{""type"":""Point"",""coordinates"":[-1.87304625895841,52.4960672465694]}"
St Joseph's RC Primary School,Little Sutton Lane,B75 6PB,412208,297239,http://stjosutton.net/,Primary,Academy Converter,330,3401,"{""type"":""Point"",""coordinates"":[-1.82130006481422,52.5728550183087]}"
St Jude's Catholic Primary School,St Jude's Close,B14 5PD,407622,278602,http://www.stjuderc.bham.sch.uk/,Primary,Voluntary Aided School,330,3377,"{""type"":""Point"",""coordinates"":[-1.88939438481452,52.4053852224509]}"
St Laurence Church Infant School,Bunbury Road,B31 2DJ,402515,279595,http://www.stlrnci.bham.sch.uk/,Infants,Voluntary Aided School,330,3371,"{""type"":""Point"",""coordinates"":[-1.96444948230272,52.4143643469392]}"
St Laurence Church Junior School,Bunbury Road,B31 2DJ,402629,279653,http://www.stlrncj.bham.sch.uk/,Juniors,Voluntary Aided School,330,3307,"{""type"":""Point"",""coordinates"":[-1.96278710946787,52.4148866414646]}"
St Margaret Mary RC Junior and Infant School,Perry Common Road,B23 7AB,409338,292832,http://www.stmgtmry.bham.sch.uk/,Primary,Voluntary Aided School,330,3361,"{""type"":""Point"",""coordinates"":[-1.86378444267628,52.5332931306295]}"
St Mark's Catholic Primary School,Almond Croft,B42 1NU,404938,292961,http://www.stmarkrc.bham.sch.uk/,Primary,Voluntary Aided School,330,3383,"{""type"":""Point"",""coordinates"":[-1.92863226819759,52.5345005473269]}"
St Martin de Porres Catholic Primary School,Oakland Road,B13 9DN,408131,283313,http://www.stmartindeporres.org.uk/,Primary,Voluntary Aided School,330,3382,"{""type"":""Point"",""coordinates"":[-1.88179228563615,52.4477281979032]}"
St Mary and St John Junior and Infant School,Beaufort Road,B23 7NB,410393,290978,http://www.stmryjon.bham.sch.uk/,Primary,Voluntary Aided School,330,3350,"{""type"":""Point"",""coordinates"":[-1.84827443265025,52.5166070479742]}"
St Mary's Catholic Primary School,Vivian Road,B17 0DN,403349,284282,http://www.stmaryrc.bham.sch.uk/,Primary,Voluntary Aided School,330,3344,"{""type"":""Point"",""coordinates"":[-1.95215372963442,52.4564959202272]}"
St Mary's Church of England Primary School,Lodge Hill Road,B29 6NU,403968,282345,http://www.stmryb29.bham.sch.uk/,Primary,Voluntary Controlled School,330,3025,"{""type"":""Point"",""coordinates"":[-1.94305496258275,52.4390800192666]}"
"St Marys C of E Primary and Nursery, Academy, Handsworth",Hamstead Road,B20 2RW,405566,290369,http://www.stmryb20.bham.sch.uk/,Primary,Academy Converter,330,3015,"{""type"":""Point"",""coordinates"":[-1.91941655707283,52.5111928714867]}"
St Matthew's CofE Primary School,Duddeston Manor Road,B7 4JR,408362,287926,http://www.st-matthews.bham.sch.uk/,Primary,Voluntary Controlled School,330,3016,"{""type"":""Point"",""coordinates"":[-1.87827944146748,52.4891954159501]}"
St Michael's Church of England Aided Primary School,Nantmel Grove,B32 3JS,400066,281609,http://www.stmicb32.bham.sch.uk/,Primary,Academy Converter,330,3311,"{""type"":""Point"",""coordinates"":[-2.00045503547455,52.4324769190648]}"
"St Michael's CofE Primary Academy, Handsworth",Piers Road,B21 0UX,405201,289195,http://www.stmich21.bham.sch.uk/,Primary,Academy Sponsor Led,330,2061,"{""type"":""Point"",""coordinates"":[-1.92481257940441,52.5006511950647]}"
St Nicholas Catholic Primary School,Jockey Road,B73 5US,410957,294672,http://www.stnicholassutton.org.uk/,Primary,Academy Converter,330,3403,"{""type"":""Point"",""coordinates"":[-1.83984259281167,52.5498046178742]}"
St Patrick's Catholic Primary School,Dudley Road,B18 7QW,404740,287594,http://www.stpatrc.bham.sch.uk/,Primary,Voluntary Aided School,330,3346,"{""type"":""Point"",""coordinates"":[-1.93164044494217,52.486262411069]}"
St Paul's Catholic Primary School,Sisefield Road,B38 9JB,405226,278132,http://www.stpaulrc.bham.sch.uk/,Primary,Academy Converter,330,3366,"{""type"":""Point"",""coordinates"":[-1.92462827620016,52.4011857451931]}"
St Paul's School for Girls,Vernon Road,B16 9SL,404120,286404,http://www.stpaulgl.bham.sch.uk/page_viewer.asp?page=Home&pid=1,Secondary,Voluntary Aided School,330,4606,"{""type"":""Point"",""coordinates"":[-1.94077033207516,52.4755692666952]}"
St Peter and St Paul RC Junior and Infant School,Kingsbury Road,B24 9ND,412042,291159,http://www.ssptrpl.bham.sch.uk/,Primary,Voluntary Aided School,330,3362,"{""type"":""Point"",""coordinates"":[-1.82398248496869,52.5182006378929]}"
St Peter's Catholic Primary School,Adams Hill,B32 3QD,400113,282037,http://www.stpeterc.bham.sch.uk/,Primary,Voluntary Aided School,330,3385,"{""type"":""Point"",""coordinates"":[-1.99977398974491,52.4363183392611]}"
St Peters CofE Primary School,Old Church Road,B17 0BE,402937,284031,http://www.st-petersce.bham.sch.uk/,Primary,Voluntary Controlled School,330,3428,"{""type"":""Point"",""coordinates"":[-1.95821126944787,52.4542350763885]}"
St Saviour's C of E Primary School,Alum Rock Road,B8 1JB,409777,288193,http://www.stsavioursceprimary.co.uk/,Primary,Voluntary Controlled School,330,3019,"{""type"":""Point"",""coordinates"":[-1.85744749710503,52.4915725576046]}"
St Teresa's Catholic Primary School,Butlers Road,B20 2NY,405327,290997,http://www.stteresa.bham.sch.uk/,Primary,Voluntary Aided School,330,3365,"{""type"":""Point"",""coordinates"":[-1.92292826241925,52.5168408642329]}"
St Thomas Aquinas Catholic School,Wychall Lane,B38 8AP,403680,279116,http://www.stacs.org/,Secondary,Academy Converter,330,4616,"{""type"":""Point"",""coordinates"":[-1.94732598037644,52.4100441898818]}"
St Thomas Centre Nursery,Bell Barn Road,B15 2AF,406469,285699,http://www.stthomaschildrenscentre.co.uk/,Nursery,LA Nursery School,330,1009,"{""type"":""Point"",""coordinates"":[-1.90620035081463,52.4692090894419]}"
St Thomas More Catholic Primary School,Horse Shoes Lane,B26 3HU,414853,284288,http://www.sttommor.bham.sch.uk/,Primary,Voluntary Aided School,330,3349,"{""type"":""Point"",""coordinates"":[-1.78284678319722,52.4563534694398]}"
St Thomas' Church of England VA Primary School,Great Colmore Street,B15 2AT,406599,285950,http://www.stthomasprimary.bham.sch.uk/,Primary,Academy Converter,330,3314,"{""type"":""Point"",""coordinates"":[-1.90428181183135,52.4714640245205]}"
St Vincent's Catholic Primary School,Vauxhall Grove,B7 4HP,408565,287471,http://www.stvincnt.bham.sch.uk/,Primary,Voluntary Aided School,330,3310,"{""type"":""Point"",""coordinates"":[-1.87531603862861,52.4851019124358]}"
St Wilfrid's Catholic Junior and Infant School,Shawsdale Road,B36 8LY,413647,289690,http://www.stwilfrd.bham.sch.uk/,Primary,Voluntary Aided School,330,3359,"{""type"":""Point"",""coordinates"":[-1.80038970168001,52.5049570726807]}"
Stanville Primary School,Stanville Road,B26 3YN,415101,284958,https://intranet.stanville.bham.sch.uk/home/SitePages/Homepage.aspx,Primary,Community School,330,2178,"{""type"":""Point"",""coordinates"":[-1.77918173719594,52.4623699818051]}"
Starbank School,Starbank Road,B10 9LR,411459,285797,http://www.starbankprimary.co.uk/www/,All Through,Community School,330,2179,"{""type"":""Point"",""coordinates"":[-1.83275669583003,52.4700003083984]}"
Stechford Primary School,Albert Road,B33 8SJ,412787,286866,http://www.stechfordprimary.co.uk/bham/primary/stechford,Primary,Community School,330,2184,"{""type"":""Point"",""coordinates"":[-1.81315232462042,52.4795813445758]}"
Stirchley Primary School,Pershore Road,B30 2JL,405323,280906,http://www.stirchly.bham.sch.uk/,Primary,Community School,330,2188,"{""type"":""Point"",""coordinates"":[-1.92315939163391,52.4261231942009]}"
Stockland Green School,Slade Road,B23 7JH,409471,291714,http://www.stockgrn.bham.sch.uk/home/,Secondary,Academy Converter,330,4206,"{""type"":""Point"",""coordinates"":[-1.86185522384803,52.5232402035354]}"
Story Wood School and Children's Centre,Hastings Road,B23 5AJ,408959,293314,http://www.storywood.bham.sch.uk/,Primary,Community School,330,2097,"{""type"":""Point"",""coordinates"":[-1.86935879761618,52.5376325378727]}"
Summerfield Junior and Infant School,Cuthbert Road,B18 4AH,404194,287870,http://www.sumfield.bham.sch.uk/,Primary,Community School,330,2067,"{""type"":""Point"",""coordinates"":[-1.93966293576144,52.4887479864918]}"
Sundridge Primary School,Sundridge Road,B44 9NY,407135,295552,http://www.sundridge.bham.sch.uk/,Primary,Community School,330,2190,"{""type"":""Point"",""coordinates"":[-1.89620330585224,52.5577783408591]}"
Sutton Coldfield Grammar School for Girls,Jockey Road,B73 5PT,411635,295172,http://www.suttcold.bham.sch.uk/scgsg/index.php,Secondary,Academy Converter,330,4300,"{""type"":""Point"",""coordinates"":[-1.82982651809302,52.5542855726416]}"
Swanshurst School,Brook Lane,B13 0TW,408652,281305,http://www.swanshurst.org/,Secondary,Community School,330,4237,"{""type"":""Point"",""coordinates"":[-1.87418380522988,52.4296728453446]}"
Tame Valley Academy,Chillinghome Road,B36 8QJ,412684,289875,http://www.tamevalleyacademy.co.uk/,Primary,Academy Sponsor Led,330,2098,"{""type"":""Point"",""coordinates"":[-1.814569987321,52.5066343151714]}"
The Abbey RC Junior and Infant School,Sutton Road,B23 6QL,411171,292415,http://www.abbeyrc.bham.sch.uk/,Primary,Voluntary Aided School,330,3318,"{""type"":""Point"",""coordinates"":[-1.83677647555671,52.5295102551539]}"
The Arthur Terry School,Kittoe Road,B74 4RZ,411195,299105,http://www.arthurterry.bham.sch.uk/,Secondary,Academy Converter,330,4307,"{""type"":""Point"",""coordinates"":[-1.83619345801512,52.5896443671839]}"
The Baverstock Academy,501 Bells Lane,B14 5TL,407488,278603,http://www.baverstock.bham.sch.uk/,Secondary,Academy Converter,330,5400,"{""type"":""Point"",""coordinates"":[-1.89135675084995,52.4054032142401]}"
The Bridge School,Coppice View Road,B73 6UE,408473,295521,http://www.bridgespecialschool.co.uk/,Special,Community School,330,7049,"{""type"":""Point"",""coordinates"":[-1.87645825607638,52.5574780467041]}"
The Dame Ellen Pinsent School,Ardencote Road,B13 0RW,408046,281070,http://www.dameellenpinsent.bham.sch.uk/,Special,Community School,330,7035,"{""type"":""Point"",""coordinates"":[-1.88309612256564,52.4275648791516]}"
The Deanery Church of England Primary School,Fox Hollies Road,B76 2RD,413893,293891,http://web.deanery.bham.sch.uk/,Primary,Academy Converter,330,5201,"{""type"":""Point"",""coordinates"":[-1.79657678432978,52.5427082575583]}"
The Edge Academy,946 Bristol Street South,B31 2LQ,401954,279254,http://www.theedgeacademy.co.uk/,Alternative,Free Schools,330,1111,"{""type"":""Point"",""coordinates"":[-1.97270854924705,52.4112957646956]}"
The International School,Gressel Lane,B33 9UF,415713,287288,http://www.tisbham.org/,Secondary,Community School,330,4244,"{""type"":""Point"",""coordinates"":[-1.77006530071029,52.4832993328731]}"
The Meadows Primary School,Bristol Road South,B31 2SW,401320,278456,http://www.meadowsprimary.org/,Primary,Community School,330,2246,"{""type"":""Point"",""coordinates"":[-1.98203688498621,52.4041210098065]}"
The Oaklands Primary School,Dolphin Lane,B27 7BT,412292,282585,http://www.theoaklands.org.uk/,Primary,Academy Converter,330,2064,"{""type"":""Point"",""coordinates"":[-1.8205968369831,52.4411156120032]}"
The Oaks Primary School,Bells Lane,B14 5RY,406809,278566,http://www.theoaks.bham.sch.uk/,Primary,Community School,330,2018,"{""type"":""Point"",""coordinates"":[-1.90135290934161,52.4050703351261]}"
The Oratory Roman Catholic Primary School,Oliver Road,B16 9ER,404949,286613,http://www.oratory.bham.sch.uk/,Primary,Voluntary Aided School,330,3323,"{""type"":""Point"",""coordinates"":[-1.92856226735164,52.4774414625127]}"
The Orchards Primary Academy,Rhayader Road,B31 1TX,401109,280042,http://www.theorchardsprimary.com/,Primary,Academy Converter,330,2249,"{""type"":""Point"",""coordinates"":[-1.98511896534005,52.4183886194146]}"
