school_name,street,postcode,easting,northing,web_site,school_group,maintain_status,lea_no,dcfs_no,_geom
James Brindley School,Bell Barn Road,B15 2AF,406437,285719,http://www.jamesbrindley.bham.sch.uk/,Special,Academy Special Converter,330,7063,"{""type"":""Point"",""coordinates"":[-1.90668571787619,52.4693803219652]}"
James Watt Primary School,Boulton Road,B21 0RE,404220,289120,http://www.jameswattp.bham.sch.uk/,Primary,Community School,330,2015,"{""type"":""Point"",""coordinates"":[-1.93927925818629,52.499985231165]}"
Jervoise School,Jervoise Road,B29 5QU,402212,282496,http://www.jervoise.bham.sch.uk/,Primary,Academy Converter,330,2111,"{""type"":""Point"",""coordinates"":[-1.968900245708,52.4404470323797]}"
John Willmott School,Reddicap Heath Road,B75 7DY,413956,295869,http://www.jws.bham.sch.uk/,Secondary,Community School,330,4301,"{""type"":""Point"",""coordinates"":[-1.79558003009355,52.560497421829]}"
King David Junior and Infant School,Alcester Road,B13 8EY,407540,282886,http://www.kingdavid.bham.sch.uk/,Primary,Voluntary Aided School,330,3352,"{""type"":""Point"",""coordinates"":[-1.89051198504865,52.4438978513091]}"
King Edward VI Aston School,Frederick Road,B6 6DJ,407860,289535,http://web.keaston.bham.sch.uk/,Secondary,Academy Converter,330,5408,"{""type"":""Point"",""coordinates"":[-1.88564975280224,52.5036675501231]}"
King Edward VI Camp Hill School for Boys,Vicarage Road,B14 7QJ,406676,281426,http://www.camphillboys.bham.sch.uk/,Secondary,Academy Converter,330,5407,"{""type"":""Point"",""coordinates"":[-1.90323716543681,52.43078345612]}"
King Edward VI Camp Hill School for Girls,Vicarage Road,B14 7QJ,406740,281461,http://www.kechg.org.uk/,Secondary,Academy Converter,330,5406,"{""type"":""Point"",""coordinates"":[-1.90229520757097,52.4310973354357]}"
King Edward VI Five Ways School,Scotland Lane,B32 4BT,400143,281569,http://fwgs.kefw.org/,Secondary,Academy Converter,330,5405,"{""type"":""Point"",""coordinates"":[-1.99932249402673,52.43210834603]}"
King Edward VI Handsworth School,Rose Hill Road,B21 9AR,405302,289410,http://www.kingedwardvi.bham.sch.uk/,Secondary,Academy Converter,330,5404,"{""type"":""Point"",""coordinates"":[-1.92333606980782,52.502583071402]}"
King Edward VI Sheldon Heath Academy,Sheldon Heath Road,B26 2RZ,415137,285653,http://www.keshacademy.com/,Secondary,Academy Sponsor Led,330,6906,"{""type"":""Point"",""coordinates"":[-1.7786206203843,52.4686169908439]}"
King Solomon International Business School,Faraday Wharf,B7 4BB,407754,287865,http://kingsolomonibs.com/,All Through,Free Schools,330,4020,"{""type"":""Point"",""coordinates"":[-1.887234903871,52.4886648431061]}"
King's Norton Boys' School,Northfield Road,B30 1DY,404070,279907,http://www.kingsnortonboys.bham.sch.uk/,Secondary,Foundation School,330,5415,"{""type"":""Point"",""coordinates"":[-1.94158332532385,52.4171615746805]}"
Kings Heath Boys,Hollybank Road,B13 0RJ,408232,280606,http://www.kingsheathboys.co.uk/,Secondary,Community School,330,4063,"{""type"":""Point"",""coordinates"":[-1.88037192898549,52.4233997038327]}"
Kings Heath Primary School,Valentine Road,B14 7AJ,407592,282133,http://www.kingsheathprimary.com/,Primary,Community School,330,2005,"{""type"":""Point"",""coordinates"":[-1.88976376064569,52.4371366190905]}"
Kings Norton Girls' School,Selly Oak Road,B30 1HW,404500,280310,http://www.kngs.co.uk/,Secondary,Academy Converter,330,5414,"{""type"":""Point"",""coordinates"":[-1.93526520234519,52.4207799862808]}"
Kings Norton Junior and Infant School,Pershore Road South,B30 3EU,405024,278906,http://www.kngnrtn.bham.sch.uk/,Primary,Community School,330,2118,"{""type"":""Point"",""coordinates"":[-1.92758292648326,52.4081458866617]}"
